order_id,order_date,region,city,product_name,category,quantity,unit_price,total_revenue,customer_id,sales_channel
UK-2026-103168,2026-05-10,East,Patna,Matte Lipstick Set,Beauty,2,933,1866,CUST-68709,Marketplace
UK-2026-103684,2026-05-07,South,Chennai,Vitamin C Serum,Beauty,1,682,682,CUST-75684,App
UK-2026-104082,2026-06-21,South,Bengaluru,Wireless Earbuds Pro,Electronics,1,3107,3107,CUST-85468,Marketplace
UK-2026-101291,2026-02-18,South,Hyderabad,Electric Kettle 1.5L,Home & Kitchen,1,1122,1122,CUST-36533,App
UK-2026-101181,2026-02-18,Central,Raipur,Denim Jacket,Fashion,1,2196,2196,CUST-95981,Website
UK-2026-102178,2026-03-23,West,Mumbai,Electric Kettle 1.5L,Home & Kitchen,1,1126,1126,CUST-35368,Website
UK-2026-102705,2026-04-21,South,Hyderabad,Bluetooth Speaker Mini,Electronics,2,1541,3082,CUST-97692,Marketplace
UK-2026-103732,2026-05-21,South,Chennai,Mirrorless Camera Lite,Electronics,-1,27565,110260,CUST-43703,Website
UK-2026-102120,2026-03-05,North,Delhi,43-inch Smart TV,Electronics,1,26675,26675,CUST-45342,Marketplace
UK-2026-104889,2026-06-13,North,Chandigarh,Noise-Cancelling Headphones,Electronics,1,9405,9405,CUST-35466,App
UK-2026-102577,2026-04-21,North,Delhi,Ethnic Dupatta,Fashion,2,518,1036,CUST-94200,App
UK-2026-103637,2026-05-26,South,Chennai,Robot Vacuum R7,Home & Kitchen,1,19221,19221,CUST-97238,Website
UK-2026-102308,2026-04-25,South,Chennai,Non-Stick Cookware Set,Home & Kitchen,2,2793,5586,CUST-66683,Marketplace
UK-2026-100166,2026-01-05,North,Noida,Air Fryer 5L,Home & Kitchen,1,5574,5574,CUST-43053,App
UK-2026-102056,2026-03-23,North,Delhi,Robot Vacuum R7,Home & Kitchen,1,19833,19833,CUST-17503,Marketplace
UK-2026-102954,2026-04-10,East,Patna,Air Fryer 5L,Home & Kitchen,1,5455,5455,CUST-51606,Website
UK-2026-103250,2026-05-06,East,Bhubaneswar,Cotton Kurta Set,Fashion,1,1254,1254,CUST-62222,Website
UK-2026-101791,2026-03-15,Central,Bhopal,Ultrabook Air 14,Electronics,2,29503,59006,CUST-10984,Marketplace
UK-2026-104660,2026-06-05,West,Ahmedabad,Yoga Mat Pro,Sports,1,1248,1248,CUST-84763,App
UK-2026-104126,2026-06-14,East,Guwahati,Bluetooth Speaker Mini,Electronics,2,1444,2888,CUST-58770,App
UK-2026-100484,2026-01-27,Central,Nagpur,Modern Wall Clock,Home & Kitchen,1,769,769,CUST-89928,Marketplace
UK-2026-100218,2026-01-30,North,Noida,Mixer Grinder 750W,Home & Kitchen,1,3159,3159,CUST-50829,App
UK-2026-101305,2026-02-15,Central,Nagpur,Gym Gloves,Sports,1,482,482,CUST-84081,App
UK-2026-100422,2026-01-16,South,Kochi,Dinner Set 24pc,Home & Kitchen,1,2507,2507,CUST-28685,App
UK-2026-100715,2026-01-14,Central,Indore,Silk Saree,Fashion,1,3412,3412,CUST-22679,App
UK-2026-101794,2026-03-06,West,Ahmedabad,Silk Saree,Fashion,1,3614,3614,CUST-18590,App
UK-2026-100614,2026-01-21,Central,Indore,Silk Saree,Fashion,1,3602,3602,CUST-88595,Marketplace
UK-2026-101134,2026-02-21,South,Kochi,43-inch Smart TV,Electronics,1,26080,26080,CUST-24898,Marketplace
UK-2026-104296,2026-06-10,East,Bhubaneswar,Denim Jacket,Fashion,1,2148,2148,CUST-10755,Website
UK-2026-100861,2026-02-15,North,Chandigarh,Air Fryer 5L,Home & Kitchen,3,5289,15867,CUST-36945,Website
UK-2026-104069,2026-06-11,South,Bangalore,Cricket Bat English Willow,Sports,1,9138,9138,CUST-70465,App
UK-2026-102345,2026-04-15,South,Kochi,Smart Watch X2,Electronics,1,4473,4473,CUST-49450,Marketplace
UK-2026-101399,2026-02-09,East,Guwahati,Noise-Cancelling Headphones,Electronics,1,8929,8929,CUST-38980,Marketplace
UK-2026-104448,2026-06-28,West,Pune,Non-Stick Cookware Set,Home & Kitchen,1,2806,2806,CUST-78745,App
UK-2026-104080,2026-06-15,West,Surat,Formal Shirt,Fashion,3,1063,3189,CUST-63784,App
UK-2026-103135,2026-05-13,North,Noida,43-inch Smart TV,Electronics,4,27138,108552,CUST-28511,Marketplace
UK-2026-103525,2026-05-07,West,Surat,Leather Wallet,Fashion,,899,899,CUST-75825,App
UK-2026-102147,2026-03-14,Central,Bhopal,Slim Fit Jeans,Fashion,-2,1648,1648,CUST-67670,Website
UK-2026-102636,2026-04-14,West,Pune,Adjustable Dumbbells 15kg,Sports,1,5173,5173,CUST-92771,Website
UK-2026-102435,2026-04-15,South,Bengaluru,Matte Lipstick Set,Beauty,2,875,1750,CUST-87083,App
UK-2026-100950,2026-02-19,South,Hyderabad,Sunscreen SPF50,Beauty,1,526,526,CUST-28374,App
UK-2026-100914,2026-02-05,South,Hyderabad,Adjustable Dumbbells 15kg,Sports,2,4823,9646,CUST-83965,Website
UK-2026-100992,2026-02-04,Central,Raipur,Air Fryer 5L,Home & Kitchen,1,5568,5568,CUST-68549,Website
UK-2026-104820,2026-06-21,West,Pune,Dinner Set 24pc,Home & Kitchen,1,2398,2398,CUST-37496,App
UK-2026-101043,2026-02-13,Central,Indore,Noise-Cancelling Headphones,Electronics,1,8574,8574,CUST-41773,Website
UK-2026-103765,2026-05-23,West,Pune,Ultrabook Air 14,Electronics,1,29092,29092,CUST-93533,App
UK-2026-101472,2026-03-02,East,Patna,Leather Wallet,Fashion,1,892,892,CUST-27397,Marketplace
UK-2026-104172,2026-06-29,North,Gurugram,Cotton Kurta Set,Fashion,1,1296,1296,CUST-47312,App
UK-2026-102194,2026-03-28,North,Gurugram,Cotton Bedsheet Set,Home & Kitchen,1,1393,1393,CUST-57405,App
UK-2026-103503,2026-05-12,North,Chandigarh,43-inch Smart TV,Electronics,1,27091,27091,CUST-44631,Website
UK-2026-102809,2026-04-25,North,Chandigarh,Electric Kettle 1.5L,Home & Kitchen,1,1152,1152,CUST-83732,App
UK-2026-102107,2026-03-26,South,Hyderabad,Mirrorless Camera Lite,Electronics,1,27594,27594,CUST-63763,Website
UK-2026-100960,"Feb 23, 2026",North,Chandigarh,Slim Fit Jeans,Fashion,1,1649,1649,CUST-69853,Website
UK-2026-101575,2026-03-10,North,Noida,Denim Jacket,Fashion,1,2168,2168,CUST-61337,Website
UK-2026-101056,2026-02-15,West,Pune,Formal Shirt,Fashion,1,1145,1145,CUST-25350,Website
UK-2026-101412,2026-02-23,North,Delhi,Modern Wall Clock,Home & Kitchen,1,792,792,CUST-92771,App
UK-2026-104094,2026-06-23,South,Kochi,Power Bank 20000mAh,Electronics,1,1760,1760,CUST-92302,Marketplace
UK-2026-102394,2026-04-04,South,Bengaluru,Mirrorless Camera Lite,Electronics,1,30218,30218,CUST-56803,App
UK-2026-101980,2026-03-20,West,Ahmedabad,Adjustable Dumbbells 15kg,Sports,1,4909,4909,CUST-91083,App
UK-2026-102969,2026-04-23,Central,Bhopal,Makeup Brush Set,Beauty,1,1352,1352,CUST-47188,App
UK-2026-101107,2026-02-10,South,Hyderabad,Ethnic Dupatta,Fashion,1,509,509,CUST-10641,App
UK-2026-100061,2026-01-30,East,Patna,Football Size 5,Sports,2,931,1862,CUST-28296,Website
UK-2026-101987,2026-03-15,South,Chennai,Smart Watch X2,Electronics,1,4453,4453,CUST-54259,Marketplace
UK-2026-101451,2026-03-14,East,Kolkata,Makeup Brush Set,Beauty,1,1288,1288,CUST-61491,App
UK-2026-104717,2026-06-23,North,Gurugram,Mixer Grinder 750W,Home & Kitchen,2,3269,6538,CUST-91727,Marketplace
UK-2026-104620,"Jun 21, 2026",East,Guwahati,Mirrorless Camera Lite,Electronics,4,28259,113036,CUST-33938,Marketplace
UK-2026-100280,2026-01-29,South,BLR,Cotton Kurta Set,Fashion,1,1250,1250,CUST-14721,Website
UK-2026-104330,2026-06-29,North,Noida,Adjustable Dumbbells 15kg,Sports,2,4938,9876,CUST-78683,Website
UK-2026-102257,2026-04-27,West,Pune,Matte Lipstick Set,Beauty,2,889,1778,CUST-13072,App
UK-2026-101019,2026-02-07,West,Pune,Yoga Mat Pro,Sports,1,1227,1227,CUST-90391,App
UK-2026-100998,2026-02-25,West,Surat,Yoga Mat Pro,Sports,2,1149,2298,CUST-79078,App
UK-2026-104143,"Jun 10, 2026",West,Surat,Denim Jacket,Fashion,1,2163,2163,CUST-68233,Marketplace
UK-2026-103742,2026-05-28,North,Delhi,Silk Saree,Fashion,1,3412,3412,CUST-14418,App
UK-2026-103090,2026-04-16,West,Pune,Dinner Set 24pc,Home & Kitchen,1,2452,2452,CUST-39650,Marketplace
UK-2026-100725,2026-02-13,Central,Indore,Leather Wallet,Fashion,1,916,916,CUST-59611,App
UK-2026-103334,2026-05-25,West,Ahmedabad,Silk Saree,Fashion,1,3644,3644,CUST-60520,App
UK-2026-101431,2026-02-02,Central,Bhopal,Ethnic Dupatta,Fashion,1,521,521,CUST-43592,App
UK-2026-102800,2026-04-04,,Gurugram,Dinner Set 24pc,Home & Kitchen,2,2524,5048,CUST-65799,App
UK-2026-103216,2026-05-11,South,Bengaluru,Leather Wallet,Fashion,1,873,873,CUST-21625,App
UK-2026-101694,2026-03-27,West,Ahmedabad,Eau de Parfum 100ml,Beauty,1,1933,1933,CUST-68282,Marketplace
UK-2026-104815,2026-06-12,South,kochi,Noise-Cancelling Headphones,Electronics,1,8987,8987,CUST-86217,App
UK-2026-101679,2026-03-30,West,Pune,Electric Kettle 1.5L,Home & Kitchen,,1133,1133,CUST-35879,App
UK-2026-101861,2026-03-16,South,Kochi,Mixer Grinder 750W,Home & Kitchen,1,3163,3163,CUST-97128,App
UK-2026-101086,2026-02-14,East,Bhubaneswar,Cricket Bat English Willow,Sports,3,9248,27744,CUST-26716,App
UK-2026-101114,2026-02-22,North,Chandigarh,Robot Vacuum R7,Home & Kitchen,2,18659,37318,CUST-61863,App
UK-2026-103373,18/05/2026,North,Delhi,Ultrabook Air 14,Electronics,1,28925,28925,CUST-76396,Website
UK-2026-101990,2026-03-14,West,Mumbai,Ethnic Dupatta,Fashion,4,495,1980,CUST-56109,Website
UK-2026-100551,2026-01-07,Central,Indore,Mirrorless Camera Lite,Electronics,1,28492,28492,CUST-85881,Website
UK-2026-103764,2026-05-12,North,Gurgaon,43-inch Smart TV,Electronics,1,26343,26343,CUST-81800,App
UK-2026-100120,2026-01-20,South,Bengaluru,Non-Stick Cookware Set,Home & Kitchen,1,2831,2831,CUST-63782,App
UK-2026-102232,2026-03-25,North,Gurugram,Robot Vacuum R7,Home & Kitchen,1,19487,19487,CUST-47131,Marketplace
UK-2026-103852,2026-05-10,Central,Bhopal,Silk Saree,Fashion,1,3645,3645,CUST-65820,App
UK-2026-102410,2026-04-26,East,Patna,Denim Jacket,Fashion,1,2105,2105,CUST-21679,App
UK-2026-101378,2026-02-10,South,Bengaluru,Running Sneakers,Fashion,4,2735,10940,CUST-24018,App
UK-2026-101616,2026-03-11,North,Delhi,Power Bank 20000mAh,Electronics,1,1803,1803,CUST-98268,Marketplace
UK-2026-101143,2026-02-26,North,Noida,Makeup Brush Set,Beauty,1,1341,1341,CUST-52304,App
UK-2026-102409,2026-04-01,East,Patna,Cricket Bat English Willow,Sports,1,9376,9376,CUST-24219,Marketplace
UK-2026-102187,2026-03-25,East,Kolkata,Cotton Bedsheet Set,Home & Kitchen,3,1344,4032,CUST-45176,Marketplace
UK-2026-100800,2026-02-08,West,Mumbai,Cycling Helmet,Sports,1,1666,1666,CUST-49171,Website
UK-2026-102359,2026-04-28,North,Delhi,Non-Stick Cookware Set,Home & Kitchen,1,2964,2964,CUST-39468,Marketplace
UK-2026-103976,2026-05-22,Central,Nagpur,Cricket Bat English Willow,Sports,3,9069,27207,CUST-14721,App
UK-2026-100501,2026-01-06,West,Pune,Ultrabook Air 14,Electronics,1,30838,30838,CUST-64594,Marketplace
UK-2026-103097,2026-05-18,West,Mumbai,43-inch Smart TV,Electronics,2,24737,49474,CUST-17435,Website
UK-2026-104007,2026-05-16,West,Pune,Air Fryer 5L,Home & Kitchen,1,5570,5570,CUST-37319,App
UK-2026-102781,2026-04-18,North,Noida,Leather Wallet,Fashion,1,917,917,CUST-73248,App
UK-2026-103034,2026-04-09,South,Hyderabad,Non-Stick Cookware Set,Home & Kitchen,1,2853,"₹2,853",CUST-53924,Website
UK-2026-103200,2026-05-14,South,Kochi,Bluetooth Speaker Mini,Electronics,1,1471,1471,CUST-21867,Marketplace
